"Date","Public","Member","Group","School","Birthdays","Total","Weather","","","","","","","","","","","","","","","","","",""
"3/20/18","2390","1435","520","","","4,345","Sunny","","","","","","","","","","","","","","","","","",""
"3/19/18","2196","1328","158","","","3,682","Sunny","","","","","","","","","","","","","","","","","",""
"3/18/18","2724","1760","46","","","4,530","Sunny","","","","","","","","","","","","","","","","","",""
"3/17/18","2182","1354","37","","45","3,618","Sunny","","","","","","","","","","","","","","","","","",""
"3/16/18","1324","690","128","421","","2,563","Sunny","","","","","","","","","","","","","","","","","",""
"3/15/18","938","530","43","439","","1,950","Sunny","","","","","","","","","","","","","","","","","",""
"3/14/18","1133","646","","600","","2,379","Sunny","","","","","","","","","","","","","","","","","",""
"3/13/18","973","556","8","51","","1,588","Rainy","","","","","","","","","","","","","","","","","",""
"3/12/18","728","344","10","290","","1,372","Sunny","","","","","","","","","","","","","","","","","",""
"3/11/18","1746","1331","","","102","3,179","Sunny","","","","","","","","","","","","","","","","","",""
"3/10/18","1920","1299","81","","","3,300","Sunny","","","","","","","","","","","","","","","","","",""
"3/9/18","840","563","16","605","","2,024","Sunny","","","","","","","","","","","","","","","","","",""
"3/8/18","741","474","24","584","","1,823","Rainy","","","","","","","","","","","","","","","","","",""
"3/7/18","508","395","","538","","1,441","Sunny","","","","","","","","","","","","","","","","","",""
"3/6/18","527","361","10","453","","1,351","Sunny","","","","","","","","","","","","","","","","","",""
"3/5/18","551","334","","184","","1,069","Sunny","","","","","","","","","","","","","","","","","",""
"3/4/18","1812","1706","20","15","89","3,642","Sunny","","","","","","","","","","","","","","","","","",""
"3/3/18","2066","1416","","64","","3,546","Sunny","","","","","","","","","","","","","","","","","",""
"3/2/18","1053","581","79","337","","2,050","Rainy","","","","","","","","","","","","","","","","","",""
"3/1/18","507","442","42","278","","1,269","Rainy","","","","","","","","","","","","","","","","","",""
"2/28/18","551","399","33","751","","1,734","Rainy","","","","","","","","","","","","","","","","","",""
"2/27/18","652","488","","353","","1,493","Cloudy","","","","","","","","","","","","","","","","","",""
"2/26/18","596","314","16","490","","1,416","Cloudy","","","","","","","","","","","","","","","","","",""
"2/25/18","1712","1559","","","13","3,284","Sunny","","","","","","","","","","","","","","","","","",""
"2/24/18","1422","732","16","","14","2,184","Sunny","","","","","","","","","","","","","","","","","",""
"2/23/18","995","495","92","343","","1,925","Snowy","","","","","","","","","","","","","","","","","",""
"2/22/18","718","510","39","390","0","1,657","Sunny","","","","","","","","","","","","","","","","","",""
"2/21/18","861","475","42","235","","1,613","Snowy","","","","","","","","","","","","","","","","","",""
"2/20/18","885","476","121","121","","1,603","Sunny","","","","","","","","","","","","","","","","","",""
"2/19/18","1312","871","64","198","","2,445","Sunny","","","","","","","","","","","","","","","","","",""
"2/18/18","1993","1396","18","","76","3,483","Sunny","","","","","","","","","","","","","","","","","",""
"2/17/18","2648","1563","60","","31","4,302","Sunny","","","","","","","","","","","","","","","","","",""
"2/16/18","1172","872","24","126","","2,194","Cloudy","","","","","","","","","","","","","","","","","",""
"2/15/18","689","363","","346","","1,398","Cloudy","","","","","","","","","","","","","","","","","",""
"2/14/18","551","271","67","310","","1,199","Sunny","","","","","","","","","","","","","","","","","",""
"2/13/18","696","387","44","399","","1,526","Cloudy","","","","","","","","","","","","","","","","","",""
"2/12/18","2995","1895","","","","4,890","Sunny","","","","","","","","","","","","","","","","","",""
"2/11/18","2786","1636","10","","90","4,522","Sunny","","","","","","","","","","","","","","","","","",""
"2/10/18","2401","1506","77","","80","4,064","Sunny","","","","","","","","","","","","","","","","","",""
"2/9/18","1246","1156","47","414","","2,863","Sunny","","","","","","","","","","","","","","","","","",""
"2/8/18","288","279","","","","567","Sunny","","","","","","","","","","","","","","","","","",""
"2/7/18","629","409","","442","","1,480","Rainy","","","","","","","","","","","","","","","","","",""
"2/6/18","612","418","24","388","","1,442","Cloudy","","","","","","","","","","","","","","","","","",""
"2/5/18","698","344","16","271","","1,329","Cloudy","","","","","","","","","","","","","","","","","",""
"2/4/18","1696","1892","95","","86","3,769","Cloudy","","","","","","","","","","","","","","","","","",""
"2/3/18","2106","1571","169","","114","3,960","Cloudy","","","","","","","","","","","","","","","","","",""
"2/2/18","792","692","33","461","","1,978","Cloudy","","","","","","","","","","","","","","","","","",""
"2/1/18","635","418","19","514","","1,586","Rainy","","","","","","","","","","","","","","","","","",""
"1/31/18","611","447","84","489","","1,631","Rainy","","","","","","","","","","","","","","","","","",""
"1/30/18","576","418","141","345","0","1,480","Cloudy","","","","","","","","","","","","","","","","","",""
"1/29/18","1149","1149","27","252","0","2,577","Rainy","","","","","","","","","","","","","","","","","",""
"1/28/18","1939","2164","129","0","68","4,300","Rainy","","","","","","","","","","","","","","","","","",""
"1/27/18","2144","1579","123","0","84","3,930","Rainy","","","","","","","","","","","","","","","","","",""
"1/26/18","930","706","11","385","0","2,032","Rainy","","","","","","","","","","","","","","","","","",""
"1/25/18","623","366","150","348","0","1,487","Rainy","","","","","","","","","","","","","","","","","",""
